date,1967,1968,1969,1970,1971,1972,1973,2020,2021,2022
Jan,27,28,26,25,26,26,28,27.04,28,27.52
Feb,28,28.5,27,28,27,27,29,28.44,27,26.48
Mar,25.5,27,27,26,25,24,26,25.11,25,24.7
Apr,24,24,23.5,23,23,23,22,22.65,23,21.64
May,21,21.5,19,18,18,20,20,17.65,21,20.52
Jun,16.5,15,16,15,15,15,16,16.2,17,17.4
Jul,15.5,13,16,14,13,14,15,16.1,16.5,16.32
Aug,17,16,17,14,14,16,16,16.5,16,17.8
Sep,19.5,18,18,16,18,19,20,18.5,19,18.71
Oct,24.5,23,20,20,21,22,21,21.5,23,21.2
Nov,24,22,23,25,21,24,23,25,22,22.4
Dec,26,24,25,25,26,28,26,25.2,25,25.72